,Date,smoothed_SD
189,9/15/2002,4.382995935
190,10/15/2002,4.507112115
191,11/15/2002,4.638964313
192,12/15/2002,4.768639574
193,1/15/2003,4.903313704
194,2/15/2003,5.037181987
195,3/15/2003,5.156147015
196,4/15/2003,5.284311147
197,5/15/2003,5.403416411
198,6/15/2003,5.519933946
199,7/15/2003,5.624940131
200,8/15/2003,5.723966168
201,9/15/2003,5.811863139
202,10/15/2003,5.884906554
203,11/15/2003,5.946496764
204,12/15/2003,5.991253845
205,1/15/2004,6.020692391
206,2/15/2004,6.028570479
207,3/15/2004,6.016750296
208,4/15/2004,5.990094038
209,5/15/2004,5.956825199
210,6/15/2004,5.921404066
211,7/15/2004,5.892508408
212,8/15/2004,5.871914861
213,9/15/2004,5.838140516
214,10/15/2004,5.791833014
215,11/15/2004,5.736104698
216,12/15/2004,5.680485259
217,1/15/2005,5.627466246
218,2/15/2005,5.562222591
219,3/15/2005,5.472949243
220,4/15/2005,5.352458347
221,5/15/2005,5.226278281
222,6/15/2005,5.098909456
223,7/15/2005,4.990929276
224,8/15/2005,4.905733701
225,9/15/2005,4.819161874
226,10/15/2005,4.725538556
227,11/15/2005,4.622678582
228,12/15/2005,4.521100947
229,1/15/2006,4.418090198
230,2/15/2006,4.321187156
231,3/15/2006,4.242378204
232,4/15/2006,4.167286205
233,5/15/2006,4.097262926
234,6/15/2006,4.02530429
235,7/15/2006,3.956801077
236,8/15/2006,3.887968131
237,9/15/2006,3.821915465
238,10/15/2006,3.76176674
239,11/15/2006,3.704729195
240,12/15/2006,3.653273207
241,1/15/2007,3.602527017
242,2/15/2007,3.552780594
243,3/15/2007,3.507475845
244,4/15/2007,3.455540818
245,5/15/2007,3.402154565
246,6/15/2007,3.344032965
247,7/15/2007,3.288769171
248,8/15/2007,3.232946477
249,9/15/2007,3.178429198
250,10/15/2007,3.126914565
251,11/15/2007,3.074969401
252,12/15/2007,3.025946092
253,1/15/2008,2.976577549
254,2/15/2008,2.928520162
255,3/15/2008,2.884751281
256,4/15/2008,2.839234921
257,5/15/2008,2.796438465
258,6/15/2008,2.753509951
259,7/15/2008,2.712846192
260,8/15/2008,2.671154873
261,9/15/2008,2.629907369
262,10/15/2008,2.590527422
263,11/15/2008,2.550507939
264,12/15/2008,2.512544001
265,1/15/2009,2.474222913
266,2/15/2009,2.436945205
267,3/15/2009,2.404272871
268,4/15/2009,2.365632736
269,5/15/2009,2.323860848
270,6/15/2009,2.281156267
271,7/15/2009,2.245092809
272,8/15/2009,2.214299669
273,9/15/2009,2.181939123
274,10/15/2009,2.149339785
275,11/15/2009,2.115143872
276,12/15/2009,2.082338193
277,1/15/2010,2.049551209
278,2/15/2010,2.018723551
279,3/15/2010,1.993260245
280,4/15/2010,1.96847649
281,5/15/2010,1.948665301
282,6/15/2010,1.933321439
283,7/15/2010,1.923564981
284,8/15/2010,1.917907927
285,9/15/2010,1.9163294
286,10/15/2010,1.918288982
287,11/15/2010,1.923507992
288,12/15/2010,1.931257912
289,1/15/2011,1.941646084
290,2/15/2011,1.954037166
291,3/15/2011,1.966600842
292,4/15/2011,1.981642038
293,5/15/2011,1.996946867
294,6/15/2011,2.013126333
295,7/15/2011,2.028744791
296,8/15/2011,2.044434153
297,9/15/2011,2.059250404
298,10/15/2011,2.072361279
299,11/15/2011,2.084258889
300,12/15/2011,2.095754001
301,1/15/2012,2.108769196
302,2/15/2012,2.122895932
303,3/15/2012,2.137078141
304,4/15/2012,2.153229863
305,5/15/2012,2.169795006
306,6/15/2012,2.187834613
307,7/15/2012,2.206143391
308,8/15/2012,2.225898624
309,9/15/2012,2.246459717
310,10/15/2012,2.269636682
311,11/15/2012,2.300383266
312,12/15/2012,2.3359072
313,1/15/2013,2.377697702
314,2/15/2013,2.423760503
315,3/15/2013,2.468286496
316,4/15/2013,2.519985223
317,5/15/2013,2.571596706
318,6/15/2013,2.625682666
319,7/15/2013,2.677912242
320,8/15/2013,2.730888362
321,9/15/2013,2.78196028
322,10/15/2013,2.828720976
323,11/15/2013,2.873408782
324,12/15/2013,2.912299173
325,1/15/2014,2.947105796
326,2/15/2014,2.975641917
327,3/15/2014,3.004345896
328,4/15/2014,3.044281863
329,5/15/2014,3.087707514
330,6/15/2014,3.133904203
331,7/15/2014,3.176432395
332,8/15/2014,3.214513614
333,9/15/2014,3.242961183
334,10/15/2014,3.258033883
335,11/15/2014,3.268230542
336,12/15/2014,3.277492167
337,1/15/2015,3.286056706
338,2/15/2015,3.293213233
339,3/15/2015,3.298142655
340,4/15/2015,3.301542204
341,5/15/2015,3.302417663
342,6/15/2015,3.300447904
343,7/15/2015,3.295961452
344,8/15/2015,3.289962697
345,9/15/2015,3.282547278
346,10/15/2015,3.273920515
347,11/15/2015,3.2634022
348,12/15/2015,3.251570339
349,1/15/2016,3.237531052
350,2/15/2016,3.221542199
351,3/15/2016,3.204724282
352,4/15/2016,3.184655346
353,5/15/2016,3.163325825
354,6/15/2016,3.139837708
355,7/15/2016,3.115665704
356,8/15/2016,3.089132126
357,9/15/2016,3.0609499
358,10/15/2016,3.032042963
359,11/15/2016,3.000417966
360,12/15/2016,2.968051848
361,1/15/2017,2.932720649
362,2/15/2017,2.895405013
363,3/15/2017,2.859938311
364,4/15/2017,2.81865788
365,5/15/2017,2.776632258
366,6/15/2017,2.730993168
367,7/15/2017,2.684601143
368,8/15/2017,2.634361989
369,9/15/2017,2.581829713
370,10/15/2017,2.528851828
371,11/15/2017,2.471941068
372,12/15/2017,2.414811783
373,1/15/2018,2.353699948
374,2/15/2018,2.290521129
375,3/15/2018,2.231717884
376,4/15/2018,2.164731713
377,5/15/2018,2.098064527
378,6/15/2018,2.027316442
379,7/15/2018,1.957094538
380,8/15/2018,1.882761949
381,9/15/2018,1.806675716
382,10/15/2018,NA
383,11/15/2018,NA
384,12/15/2018,NA
