Maninjau2 Suhu,02/12/2020,4:48:51 PM,,,,,,,,,,,,,,,,,,,,
Date,Time,-1m,0m,2m,4m,6m,8m,10m,12m,14m,16m,18m,20m,22m,28m,30m,40m,42m,50m,52m,60m,62m
13/01/2020, 02:15:13,24.375,28.1597,27.7139,27.5914,27.4846,27.4788,27.4576,27.4006,27.4718,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 02:20:14,24.1875,28.0976,27.7139,27.5914,27.4846,27.5406,27.3957,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 02:35:14,24.125,28.0355,27.7139,27.5914,27.4846,27.4788,27.3957,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 02:40:20,24.375,28.0355,27.7139,27.5914,27.4846,27.4788,27.3957,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 02:45:14,24.5,28.0355,27.7139,27.5298,27.4846,27.4788,27.3957,27.4006,27.4099,27.3484,27.3209,27.2965,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 02:50:20,24.1875,28.0355,27.7139,27.5298,27.4846,27.4788,27.3957,27.4006,27.4099,27.3484,27.3209,27.2351,27.2268,27.0865,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 02:55:14,24.375,27.9735,27.7139,27.5298,27.4846,27.4788,27.3957,27.4006,27.4099,27.3484,27.3209,27.2351,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:00:20,24.1875,27.9114,27.7139,27.5298,27.4846,27.4788,27.3957,27.4006,27.4099,27.3484,27.2593,27.2351,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:05:13,24.1875,27.9114,27.7139,27.5298,27.4846,27.4788,27.3957,27.4006,27.4099,27.2868,27.2593,27.2351,27.2268,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:15:13,24.25,27.8494,27.7759,27.5298,27.4846,27.5406,27.3957,27.4006,27.4099,27.2868,27.2593,27.2351,27.1651,27.0253,27.1175,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:20:20,24.0625,27.8494,27.7759,27.5298,27.4846,27.5406,27.3957,27.4006,27.4099,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:25:13,24.125,28.0355,27.8379,27.5298,27.4846,27.5406,27.4576,27.4006,27.4099,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
13/01/2020, 03:30:21,24.1875,28.1597,27.8379,27.5298,27.4846,27.5406,27.4576,27.4006,27.348,27.2868,27.2593,27.2351,27.1651,27.0253,27.0568,99.9999,99.9999,99.9999,0,0,0
